transaction_id,customer_id,merchant_id,amount,mcc,channel,device_id,ip_address,country,transaction_timestamp,is_fraud,avg_customer_amount,tx_last_7d,tx_last_1h,tx_last_5m,merchant_risk_score,chargeback_rate,device_change_30d,device_risk_score,foreign_tx
1,1,101,23.5,5411,POS,201,10.0.0.1,USA,1/1/2024 10:01,0,213.9166667,1,1,1,0.1,0.02,0,0.1,0
2,1,102,120,5812,ECOM,202,10.0.0.1,USA,1/1/2024 10:05,0,213.9166667,2,2,2,0.2,0.03,1,0.2,0
22,1,107,310,5999,ECOM,222,10.0.0.1,CAN,1/1/2024 15:55,1,213.9166667,3,1,1,0.7,0.15,2,0.34,1
42,1,112,320,5999,ECOM,212,10.0.0.1,USA,1/1/2024 17:35,1,213.9166667,4,1,1,0.45,0.08,2,0.33,0
62,1,102,150,5812,ECOM,202,10.0.0.1,USA,1/1/2024 19:15,0,213.9166667,5,1,1,0.2,0.03,1,0.2,0
82,1,107,360,5999,ECOM,222,10.0.0.1,CAN,1/1/2024 20:55,1,213.9166667,6,1,1,0.7,0.15,2,0.34,1
3,2,103,450,5999,POS,203,10.0.0.2,USA,1/1/2024 11:10,1,213,1,1,1,0.3,0.05,0,0.15,0
23,2,108,52,5814,POS,223,10.0.0.2,USA,1/1/2024 16:00,0,213,2,1,1,0.8,0.18,1,0.29,0
43,2,113,20,5814,POS,213,10.0.0.2,USA,1/1/2024 17:40,0,213,3,1,1,0.55,0.11,1,0.27,0
63,2,103,490,5999,POS,203,10.0.0.2,USA,1/1/2024 19:20,1,213,4,1,1,0.3,0.05,0,0.15,0
83,2,108,53,5411,POS,223,10.0.0.2,USA,1/1/2024 21:00,0,213,5,1,1,0.8,0.18,1,0.29,0
4,3,104,15,5411,POS,204,10.0.0.3,USA,1/1/2024 11:15,0,708.2,1,1,1,0.4,0.07,2,0.3,0
24,3,109,1600,5732,ECOM,224,10.0.0.3,MEX,1/1/2024 16:05,1,708.2,2,1,1,0.9,0.2,3,0.48,1
44,3,114,260,5732,ECOM,214,10.0.0.3,USA,1/1/2024 17:45,0,708.2,3,1,1,0.65,0.13,0,0.14,0
64,3,104,16,5411,POS,204,10.0.0.3,USA,1/1/2024 19:25,0,708.2,4,1,1,0.4,0.07,2,0.3,0
84,3,109,1650,5732,ECOM,224,10.0.0.3,MEX,1/1/2024 21:05,1,708.2,5,1,1,0.9,0.2,3,0.48,1
5,4,105,980,5732,ECOM,205,10.0.0.4,USA,1/1/2024 12:20,1,593.4,1,1,1,0.5,0.1,1,0.25,0
25,4,110,28,5411,POS,225,10.0.0.4,USA,1/1/2024 16:10,0,593.4,2,1,1,0.25,0.04,0,0.19,0
45,4,115,880,5999,ECOM,215,10.0.0.4,BRA,1/1/2024 17:50,1,593.4,3,1,1,0.75,0.16,3,0.45,1
65,4,105,1050,5732,ECOM,205,10.0.0.4,USA,1/1/2024 19:30,1,593.4,4,1,1,0.5,0.1,1,0.25,0
85,4,110,29,5411,POS,225,10.0.0.4,USA,1/1/2024 21:10,0,593.4,5,1,1,0.25,0.04,0,0.19,0
6,5,106,65,5814,POS,206,10.0.0.5,USA,1/1/2024 12:25,0,69,1,1,1,0.6,0.12,0,0.12,0
26,5,111,85,5812,POS,226,10.0.0.5,USA,1/1/2024 16:15,0,69,2,1,1,0.35,0.06,1,0.21,0
46,5,101,35,5411,POS,216,10.0.0.5,USA,1/1/2024 17:55,0,69,3,1,1,0.1,0.02,1,0.23,0
66,5,106,70,5814,POS,206,10.0.0.5,USA,1/1/2024 19:35,0,69,4,1,1,0.6,0.12,0,0.12,0
86,5,111,90,5812,POS,226,10.0.0.5,USA,1/1/2024 21:15,0,69,5,1,1,0.35,0.06,1,0.21,0
7,6,107,300,5999,ECOM,207,10.0.0.6,CAN,1/1/2024 13:30,1,326,1,1,1,0.7,0.15,3,0.4,1
27,6,112,420,5999,ECOM,227,10.0.0.6,USA,1/1/2024 16:20,1,326,2,1,1,0.45,0.08,2,0.32,0
47,6,102,130,5812,ECOM,217,10.0.0.6,USA,1/1/2024 18:00,0,326,3,1,1,0.2,0.03,0,0.11,0
67,6,107,350,5999,ECOM,207,10.0.0.6,CAN,1/1/2024 19:40,1,326,4,1,1,0.7,0.15,3,0.4,1
87,6,112,430,5999,ECOM,227,10.0.0.6,USA,1/1/2024 21:20,1,326,5,1,1,0.45,0.08,2,0.32,0
8,7,108,42,5411,POS,208,10.0.0.7,USA,1/1/2024 13:35,0,118.8,1,1,1,0.8,0.18,2,0.35,0
28,7,113,19,5411,POS,228,10.0.0.7,USA,1/1/2024 16:25,0,118.8,2,1,1,0.55,0.11,3,0.44,0
48,7,103,470,5999,POS,218,10.0.0.7,USA,1/1/2024 18:05,1,118.8,3,1,1,0.3,0.05,2,0.31,0
68,7,108,40,5411,POS,208,10.0.0.7,USA,1/1/2024 19:45,0,118.8,4,1,1,0.8,0.18,2,0.35,0
88,7,113,23,5411,POS,228,10.0.0.7,USA,1/1/2024 21:25,0,118.8,5,1,1,0.55,0.11,3,0.44,0
9,8,109,1500,5732,ECOM,209,10.0.0.8,MEX,1/1/2024 14:40,1,733.8,1,1,1,0.9,0.2,1,0.22,1
29,8,114,275,5732,ECOM,229,10.0.0.8,USA,1/1/2024 16:30,0,733.8,2,1,1,0.65,0.13,0,0.16,0
49,8,104,14,5411,POS,219,10.0.0.8,USA,1/1/2024 18:10,0,733.8,3,1,1,0.4,0.07,3,0.42,0
69,8,109,1580,5732,ECOM,209,10.0.0.8,MEX,1/1/2024 19:50,1,733.8,4,1,1,0.9,0.2,1,0.22,1
89,8,114,300,5732,ECOM,229,10.0.0.8,USA,1/1/2024 21:30,0,733.8,5,1,1,0.65,0.13,0,0.16,0
10,9,110,22,5812,POS,210,10.0.0.9,USA,1/1/2024 14:45,0,583.8,1,1,1,0.25,0.04,0,0.18,0
30,9,115,950,5999,ECOM,230,10.0.0.9,BRA,1/1/2024 16:35,1,583.8,2,1,1,0.75,0.16,1,0.24,1
50,9,105,990,5732,ECOM,220,10.0.0.9,USA,1/1/2024 18:15,1,583.8,3,1,1,0.5,0.1,1,0.26,0
70,9,110,27,5812,POS,210,10.0.0.9,USA,1/1/2024 19:55,0,583.8,4,1,1,0.25,0.04,0,0.18,0
90,9,115,930,5999,ECOM,230,10.0.0.9,BRA,1/1/2024 21:35,1,583.8,5,1,1,0.75,0.16,1,0.24,1
11,10,111,75,5411,POS,211,10.0.0.10,USA,1/1/2024 15:00,0,58.4,1,1,1,0.35,0.06,4,0.5,0
31,10,101,33,5411,POS,201,10.0.0.10,USA,1/1/2024 16:40,0,58.4,2,1,1,0.1,0.02,0,0.1,0
51,10,106,68,5814,POS,221,10.0.0.10,USA,1/1/2024 18:20,0,58.4,3,1,1,0.6,0.12,0,0.17,0
71,10,111,80,5411,POS,211,10.0.0.10,USA,1/1/2024 20:00,0,58.4,4,1,1,0.35,0.06,4,0.5,0
91,10,101,36,5411,POS,201,10.0.0.10,USA,1/1/2024 21:40,0,58.4,5,1,1,0.1,0.02,0,0.1,0
12,11,112,300,5999,ECOM,212,10.0.0.11,USA,1/1/2024 15:05,1,249,1,1,1,0.45,0.08,2,0.33,0
32,11,102,140,5812,ECOM,202,10.0.0.11,USA,1/1/2024 16:45,0,249,2,1,1,0.2,0.03,1,0.2,0
52,11,107,340,5999,ECOM,222,10.0.0.11,CAN,1/1/2024 18:25,1,249,3,1,1,0.7,0.15,2,0.34,1
72,11,112,310,5999,ECOM,212,10.0.0.11,USA,1/1/2024 20:05,1,249,4,1,1,0.45,0.08,2,0.33,0
92,11,102,155,5812,ECOM,202,10.0.0.11,USA,1/1/2024 21:45,0,249,5,1,1,0.2,0.03,1,0.2,0
13,12,113,18,5814,POS,213,10.0.0.12,USA,1/1/2024 15:10,0,214.8,1,1,1,0.55,0.11,1,0.27,0
33,12,103,480,5999,POS,203,10.0.0.12,USA,1/1/2024 16:50,1,214.8,2,1,1,0.3,0.05,0,0.15,0
53,12,108,55,5411,POS,223,10.0.0.12,USA,1/1/2024 18:30,0,214.8,3,1,1,0.8,0.18,1,0.29,0
73,12,113,21,5814,POS,213,10.0.0.12,USA,1/1/2024 20:10,0,214.8,4,1,1,0.55,0.11,1,0.27,0
93,12,103,500,5999,POS,203,10.0.0.12,USA,1/1/2024 21:50,1,214.8,5,1,1,0.3,0.05,0,0.15,0
14,13,114,250,5732,ECOM,214,10.0.0.13,USA,1/1/2024 15:15,0,453,1,1,1,0.65,0.13,0,0.14,0
34,13,104,17,5411,POS,204,10.0.0.13,USA,1/1/2024 16:55,0,453,2,1,1,0.4,0.07,2,0.3,0
54,13,109,1700,5732,ECOM,224,10.0.0.13,MEX,1/1/2024 18:35,1,453,3,1,1,0.9,0.2,3,0.48,1
74,13,114,280,5732,ECOM,214,10.0.0.13,USA,1/1/2024 20:15,0,453,4,1,1,0.65,0.13,0,0.14,0
94,13,104,18,5411,POS,204,10.0.0.13,USA,1/1/2024 21:55,0,453,5,1,1,0.4,0.07,2,0.3,0
15,14,115,900,5999,ECOM,215,10.0.0.14,BRA,1/1/2024 15:20,1,788,1,1,1,0.75,0.16,3,0.45,1
35,14,105,1020,5732,ECOM,205,10.0.0.14,USA,1/1/2024 17:00,1,788,2,1,1,0.5,0.1,1,0.25,0
55,14,110,30,5411,POS,225,10.0.0.14,USA,1/1/2024 18:40,0,788,3,1,1,0.25,0.04,0,0.19,0
